지역,2021_차량,2022_차량,2023_차량
서울특별시,3180000,3190000,3190000
부산광역시,1470000,1500000,1530000
대구광역시,1210000,1230000,1260000
인천광역시,1680000,1690000,1730000
광주광역시,700000,710000,720000
대전광역시,690000,710000,720000
울산광역시,580000,590000,600000
세종특별자치시,190000,190000,200000
경기도,6210000,6380000,6530000
강원특별자치도,830000,850000,870000
충청북도,890000,920000,940000
충청남도,1180000,1210000,1250000
전북특별자치도,960000,980000,990000
전라남도,1060000,1080000,1100000
경상북도,1370000,1400000,1430000
경상남도,1930000,1980000,2010000
제주특별자치도,700000,730000,760000
